iteration,queue_slots,candidate_slots,candidate_slot_percent,network_requests,search_attempts,candidates_discovered,evidence_excerpts,approved_candidate_slots,review_required_slots,unresolved_slots,verdict
v001_live_evidence_smoke,28,1,3.6,112,,12,1,,,27,DO_NOT_SCALE
v001_1_search_repair,28,0,0.0,136,136,0,0,0,0,28,DO_NOT_SCALE_SEARCH_DEPENDENT_DISCOVERY
v001_2_source_first,28,26,92.9,275,297,249,0,18,8,2,PROCEED_TO_EVIDENCE_QUALITY_AUDIT
